2026-03-03 11:35:44.631 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.632 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_ADMIN_FallbackCity_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.633 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554188368783_FALLBACKCITY_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.634 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554199999999_LISBOA_2026-04-14: strptime() argument 1 must be str, not None
2026-03-03 11:40:44.626 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 11:50:44.624 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 11:50:44.625 | INFO     | app.services.flights_service:__init__:19 - ✅ Flights Service inicializado
2026-03-03 11:50:44.625 | INFO     | app.services.scheduler_service:monitor_active_flights:260 - ✈️ Monitor de Pouso: Verificando voos ativos...
2026-03-03 11:50:44.625 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-04: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.626 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.626 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.626 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.626 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.627 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.627 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.627 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_ADMIN_FallbackCity_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.627 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554188368783_FALLBACKCITY_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 11:50:44.628 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554199999999_LISBOA_2026-04-14: strptime() argument 1 must be str, not None
2026-03-03 12:00:00.012 | INFO     | app.services.scheduler_service:run_destination_audit_job:391 - 🗺️ Iniciando Auditoria Universal de Destinos (POIs)...
2026-03-03 12:00:44.620 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 12:05:44.623 | INFO     | app.services.flights_service:__init__:19 - ✅ Flights Service inicializado
2026-03-03 12:05:44.624 | INFO     | app.services.scheduler_service:monitor_active_flights:260 - ✈️ Monitor de Pouso: Verificando voos ativos...
2026-03-03 12:05:44.628 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-04: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.629 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.629 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.629 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.630 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.630 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.631 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.631 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_ADMIN_FallbackCity_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.632 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554188368783_FALLBACKCITY_2026-05-01: strptime() argument 1 must be str, not None
2026-03-03 12:05:44.632 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip 554199999999_LISBOA_2026-04-14: strptime() argument 1 must be str, not None
2026-03-03 12:10:44.626 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 12:20:44.630 | INFO     | app.services.flights_service:__init__:19 - ✅ Flights Service inicializado
2026-03-03 12:20:44.631 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 12:20:44.632 | INFO     | app.services.scheduler_service:monitor_active_flights:260 - ✈️ Monitor de Pouso: Verificando voos ativos...
2026-03-03 12:20:44.634 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-04: strptime() argument 1 must be str, not None
2026-03-03 12:20:44.635 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 12:20:44.635 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 12:20:44.636 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 12:20:44.636 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 12:20:44.636 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
2026-03-03 12:20:44.637 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-26: strptime() argument 1 must be str, not None
